product_id,product_name
1,white polyester printed t-shirt
2,red t-shirt
3,white plain t-shirt
4,red silk t-shirt
5,green linen t-shirt
6,white t-shirt
7,gray t-shirt
8,gray oversized t-shirt
9,pink printed t-shirt
10,brown wool slim-fit t-shirt
11,yellow t-shirt
12,white t-shirt
13,brown silk t-shirt
14,purple slim-fit t-shirt
15,gray polyester checkered t-shirt
16,blue leather checkered t-shirt
17,purple t-shirt
18,yellow nylon floral t-shirt
19,green cotton t-shirt
20,black t-shirt
21,brown striped t-shirt
22,gray silk t-shirt
23,red oversized t-shirt
24,pink wool t-shirt
25,white linen checkered t-shirt
26,black checkered t-shirt
27,brown plain t-shirt
28,white checkered polo shirt
29,blue polo shirt
30,pink polo shirt
31,yellow leather polo shirt
32,blue printed polo shirt
33,yellow slim-fit polo shirt
34,blue denim floral polo shirt
35,green oversized polo shirt
36,pink floral polo shirt
37,red printed polo shirt
38,gray cotton plain polo shirt
39,brown polo shirt
40,pink nylon slim-fit polo shirt
41,brown checkered polo shirt
42,black denim checkered polo shirt
43,black polyester checkered polo shirt
44,blue wool slim-fit polo shirt
45,yellow nylon printed polo shirt
46,yellow slim-fit polo shirt
47,white polyester polo shirt
48,purple polo shirt
49,purple checkered polo shirt
50,green leather polo shirt
51,green cotton polo shirt
52,black denim polo shirt
53,red polo shirt
54,gray cotton polo shirt
55,purple cotton checkered dress shirt
56,green wool plain dress shirt
57,black silk plain dress shirt
58,yellow printed dress shirt
59,blue nylon slim-fit dress shirt
60,white linen dress shirt
61,pink linen dress shirt
62,yellow plain dress shirt
63,pink polyester striped dress shirt
64,pink silk printed dress shirt
65,yellow nylon plain dress shirt
66,white denim dress shirt
67,green cotton dress shirt
68,purple printed dress shirt
69,brown striped dress shirt
70,brown dress shirt
71,white striped dress shirt
72,gray leather slim-fit dress shirt
73,green plain dress shirt
74,brown silk dress shirt
75,green printed dress shirt
76,white denim checkered dress shirt
77,gray dress shirt
78,red dress shirt
79,pink polyester dress shirt
80,brown checkered dress shirt
81,red silk floral dress shirt
82,red striped blouse
83,white slim-fit blouse
84,blue printed blouse
85,brown blouse
86,red floral blouse
87,yellow floral blouse
88,gray blouse
89,gray plain blouse
90,pink nylon blouse
91,yellow polyester plain blouse
92,green striped blouse
93,brown floral blouse
94,brown cotton oversized blouse
95,pink striped blouse
96,black silk printed blouse
97,pink silk slim-fit blouse
98,blue cotton floral blouse
99,blue plain blouse
100,red blouse
101,blue leather oversized blouse
102,purple floral blouse
103,purple oversized blouse
104,purple nylon oversized blouse
105,green linen blouse
106,brown silk blouse
107,black blouse
108,black wool striped blouse
109,green sweater
110,pink denim sweater
111,red sweater
112,blue wool checkered sweater
113,brown sweater
114,brown wool plain sweater
115,blue printed sweater
116,gray polyester sweater
117,pink denim oversized sweater
118,brown sweater
119,yellow sweater
120,black polyester oversized sweater
121,blue linen sweater
122,gray silk sweater
123,pink linen sweater
124,green sweater
125,red sweater
126,blue striped sweater
127,green sweater
128,white linen sweater
129,yellow nylon sweater
130,purple sweater
131,black slim-fit sweater
132,red sweater
133,red linen sweater
134,yellow polyester oversized sweater
135,blue checkered sweater
136,gray oversized hoodie
137,green cotton hoodie
138,gray nylon printed hoodie
139,pink hoodie
140,pink slim-fit hoodie
141,gray polyester printed hoodie
142,pink nylon hoodie
143,brown polyester hoodie
144,purple wool hoodie
145,white striped hoodie
146,red printed hoodie
147,gray nylon striped hoodie
148,yellow polyester checkered hoodie
149,pink hoodie
150,red leather hoodie
151,gray hoodie
152,gray checkered hoodie
153,blue leather oversized hoodie
154,yellow hoodie
155,yellow checkered hoodie
156,blue linen hoodie
157,blue wool oversized hoodie
158,brown nylon hoodie
159,pink cotton hoodie
160,purple denim printed hoodie
161,white hoodie
162,purple silk hoodie
163,purple oversized jacket
164,pink oversized jacket
165,blue striped jacket
166,green jacket
167,yellow silk floral jacket
168,blue denim jacket
169,green polyester printed jacket
170,black jacket
171,brown oversized jacket
172,gray polyester plain jacket
173,brown leather checkered jacket
174,red printed jacket
175,purple wool oversized jacket
176,green jacket
177,black denim jacket
178,white jacket
179,black linen jacket
